,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,elk city,US,2023-03-28 12:03:24,35.412,-99.4043,0,52,43.05199999999998,7.72
1,conceicao do araguaia,BR,2023-03-28 12:03:25,-8.2578,-49.2647,50,64,86.01799999999999,2.92
2,mataura,NZ,2023-03-28 12:03:25,-46.1927,168.8643,47,84,44.74399999999997,0.67
3,bredasdorp,ZA,2023-03-28 12:03:25,-34.5322,20.0403,38,67,65.71400000000003,6.37
4,dakar,SN,2023-03-28 12:03:25,14.6937,-17.4441,7,74,101.55199999999998,6.09
5,busselton,AU,2023-03-28 12:03:25,-33.65,115.3333,0,65,61.25,6.25
6,guilin,CN,2023-03-28 12:03:25,25.2819,110.2864,100,90,56.26400000000004,1.65
7,nome,US,2023-03-28 12:03:25,64.5011,-165.4064,99,98,-0.5259999999999891,2.36
8,bluff,NZ,2023-03-28 12:00:07,-46.6,168.3333,97,63,45.067999999999984,2.9
9,qaanaaq,GL,2023-03-28 12:03:26,77.484,-69.3632,79,70,-7.40199999999998,2.25
10,illoqqortoormiut,,,,,,,,
11,souillac,MU,2023-03-28 12:03:26,-20.5167,57.5167,99,74,78.60199999999998,2.52
12,rikitea,PF,2023-03-28 12:03:26,-23.1203,-134.9692,100,75,80.33000000000004,5.58
13,kavaratti,IN,2023-03-28 12:03:26,10.5669,72.642,3,73,81.64399999999998,5.56
14,talnakh,RU,2023-03-28 12:03:26,69.4865,88.3972,94,99,-16.42000000000001,2.71
15,barrow,US,2023-03-28 12:03:26,71.2906,-156.7887,20,78,3.4880000000000457,7.2
16,belyy yar,RU,2023-03-28 12:03:27,53.6039,91.3903,0,78,41.12599999999999,3
17,vila franca do campo,PT,2023-03-28 12:03:27,37.7167,-25.4333,99,89,63.28399999999999,11.1
18,carballo,ES,2023-03-28 12:03:27,43.213,-8.691,100,23,73.04000000000002,3.7
19,cayenne,GF,2023-03-28 12:03:27,4.9333,-52.3333,75,88,77.30600000000004,3.09
20,keroka,KE,2023-03-28 12:03:27,-0.7758,34.9453,69,97,58.36999999999996,1.3
21,khatanga,RU,2023-03-28 12:03:27,71.9667,102.5,100,96,-9.454,5.72
22,lucapa,AO,2023-03-28 12:03:28,-8.4192,20.7447,53,87,74.13800000000005,0.7
23,carnarvon,AU,2023-03-28 12:03:28,-24.8667,113.6333,96,72,76.19000000000003,4.54
24,georgetown,MY,2023-03-28 12:00:38,5.4112,100.3354,20,79,84.39800000000002,1.03
25,college,US,2023-03-28 12:03:28,64.8569,-147.8028,60,100,25.39399999999997,0.85
26,avarua,CK,2023-03-28 12:03:29,-21.2078,-159.775,75,94,77.32400000000001,1.54
27,guisa,CU,2023-03-28 12:03:29,20.255,-76.5386,0,35,89.31199999999995,2.26
28,ushuaia,AR,2023-03-28 12:03:30,-54.8,-68.3,68,82,37.47200000000004,1.45
29,szczecinek,PL,2023-03-28 11:59:43,53.7079,16.6994,43,44,34.64600000000005,5.13
30,atuona,PF,2023-03-28 12:03:30,-9.8,-139.0333,97,75,80.95999999999998,7.58
31,longyearbyen,SJ,2023-03-28 12:03:30,78.2186,15.6401,75,72,3.3080000000000034,3.09
32,hermanus,ZA,2023-03-28 12:03:30,-34.4187,19.2345,21,79,67.06400000000004,2.9
33,east london,ZA,2023-03-28 12:03:30,-33.0153,27.9116,84,74,74.19200000000001,6.09
34,provideniya,RU,2023-03-28 12:03:30,64.3833,-173.3,100,96,21.722000000000037,2.81
35,punta arenas,CL,2023-03-28 12:00:34,-53.15,-70.9167,33,60,42.38599999999997,5.5
36,ponta do sol,PT,2023-03-28 12:03:31,32.6667,-17.1,100,8,79.39399999999998,1.69
37,paradwip,,,,,,,,
38,norman wells,CA,2023-03-28 12:03:31,65.282,-126.8329,100,93,26.906000000000027,1.54
39,xining,CN,2023-03-28 12:03:31,36.6167,101.7667,87,31,41.575999999999986,2.5
40,chokurdakh,RU,2023-03-28 12:03:31,70.6333,147.9167,100,95,16.609999999999978,4.34
41,richards bay,ZA,2023-03-28 12:03:31,-28.783,32.0377,0,65,71.88800000000005,6.75
42,teguldet,RU,2023-03-28 12:03:32,57.3064,88.1667,100,98,38.76799999999999,6.67
43,albany,US,2023-03-28 12:00:40,42.6001,-73.9662,91,57,45.91400000000003,2.24
44,tasiilaq,GL,2023-03-28 12:03:32,65.6145,-37.6368,17,66,12.272000000000038,1.06
45,saint-augustin,CA,2023-03-28 12:03:32,51.226,-58.6502,100,66,36.877999999999965,3.82
46,beidao,CN,2023-03-28 12:03:32,34.5686,105.8933,78,66,52.10600000000003,1.35
47,kruisfontein,ZA,2023-03-28 12:03:32,-34.0033,24.7314,100,59,72.15800000000002,6.02
48,north platte,US,2023-03-28 12:03:32,41.1239,-100.7654,0,80,32.161999999999956,3.09
49,mahajanga,MG,2023-03-28 12:03:33,-15.7167,46.3167,87,75,82.4,4.37
50,grand centre,,,,,,,,
51,rexburg,US,2023-03-28 11:59:19,43.826,-111.7897,100,47,27.698000000000025,0.76
52,airai,TL,2023-03-28 12:03:33,-8.9266,125.4092,100,91,59.66600000000001,0.5
53,avera,US,2023-03-28 12:02:51,33.194,-82.5271,95,61,73.81400000000004,2.05
54,malindi,KE,2023-03-28 12:03:33,-3.2175,40.1191,57,79,82.45399999999995,4.58
55,poum,NC,2023-03-28 12:03:33,-20.2333,164.0167,54,79,79.60999999999999,8.27
56,luderitz,NA,2023-03-28 11:59:42,-26.6481,15.1594,2,67,69.78200000000001,6.83
57,bajo baudo,,,,,,,,
58,nikolskoye,RU,2023-03-28 12:03:34,59.7035,30.7861,100,99,32.18000000000004,2.63
59,japura,ID,2023-03-28 12:03:34,-0.3167,102.35,57,95,74.75,0.41
60,kodiak,US,2023-03-28 12:03:34,57.79,-152.4072,97,86,34.825999999999986,1.45
61,castro,BR,2023-03-28 12:01:04,-24.7911,-50.0119,63,66,75.48800000000006,0.35
62,taolanaro,,,,,,,,
63,dikson,RU,2023-03-28 12:03:34,73.5069,80.5464,100,95,-8.121999999999986,5.72
64,serenje,ZM,2023-03-28 12:03:34,-13.2325,30.2352,82,96,63.28399999999999,3.1
65,araruama,BR,2023-03-28 11:59:59,-22.8728,-42.3431,74,61,82.72400000000002,3.33
66,hervey bay,AU,2023-03-28 12:03:35,-25.2986,152.8535,25,77,75.99199999999999,2.4
67,bonavista,CA,2023-03-28 12:03:35,48.6499,-53.1147,97,90,31.675999999999988,8.81
68,westport,US,2023-03-28 12:03:35,41.1415,-73.3579,100,78,46.88599999999997,3.58
69,bonthe,SL,2023-03-28 12:03:35,7.5264,-12.505,45,60,87.09800000000003,5.57
70,nanortalik,GL,2023-03-28 12:03:35,60.1432,-45.2371,3,61,32.377999999999965,0.97
71,moerai,PF,2023-03-28 12:03:35,-22.4333,-151.3333,43,79,78.53000000000004,6.22
72,shelburne,CA,2023-03-28 12:01:03,44.0787,-80.2041,76,63,39.57799999999996,1.68
73,buraydah,SA,2023-03-28 12:03:36,26.326,43.975,0,17,75.434,4.71
74,ilulissat,GL,2023-03-28 12:03:36,69.2167,-51.1,6,81,-2.16399999999998,0.45
75,toliary,,,,,,,,
76,saskylakh,RU,2023-03-28 12:03:36,71.9167,114.0833,100,95,-13.720000000000013,4.29
77,leningradskiy,RU,2023-03-28 12:03:36,69.3833,178.4167,2,83,-6.1240000000000165,3.56
78,ambilobe,MG,2023-03-28 12:03:37,-13.2,49.05,100,91,76.64000000000001,0.39
79,porto novo,BJ,2023-03-28 12:00:49,6.4965,2.6036,93,61,87.16999999999996,4.78
80,san pedro de ycuamandiyu,PY,2023-03-28 12:03:37,-24.0917,-57.0764,11,47,92.48000000000005,2.72
81,loa janan,ID,2023-03-28 12:03:37,-0.583,117.095,100,98,73.58000000000004,0.56
82,port alfred,ZA,2023-03-28 12:03:37,-33.5906,26.891,95,74,71.45600000000003,0.45
83,benguela,AO,2023-03-28 12:03:37,-12.5763,13.4055,86,67,82.25600000000003,3.38
84,asau,RO,2023-03-28 12:03:37,46.4333,26.4,82,54,40.55,2.79
85,ancud,CL,2023-03-28 12:03:38,-41.8697,-73.8203,100,79,53.52799999999996,9.65
86,bathsheba,BB,2023-03-28 12:03:38,13.2167,-59.5167,58,63,80.6,8.8
87,storsteinnes,NO,2023-03-28 12:03:38,69.2408,19.2344,1,77,29.317999999999984,1.35
88,yellowknife,CA,2023-03-28 12:01:27,62.456,-114.3525,100,93,8.564000000000032,4.42
89,mys shmidta,,,,,,,,
90,deputatskiy,RU,2023-03-28 12:03:38,69.3,139.9,100,94,0.21200000000000685,3.2
91,rungata,,,,,,,,
92,otjimbingwe,NA,2023-03-28 12:03:38,-22.35,16.1333,30,18,86.99000000000002,9.6
93,miraflores,MX,2023-03-28 12:03:38,19.2167,-98.8083,5,35,70.30399999999995,1.4
94,taitung,TW,2023-03-28 12:03:39,22.7583,121.1444,16,79,70.77200000000005,4.52
95,kapaa,US,2023-03-28 12:03:39,22.0752,-159.319,100,89,71.85199999999998,1.84
96,butaritari,KI,2023-03-28 12:03:39,3.0707,172.7902,27,79,82.34600000000006,6.43
97,tiksi,RU,2023-03-28 12:03:39,71.6872,128.8694,100,94,-3.8740000000000165,5.84
98,gazanjyk,TM,2023-03-28 12:03:39,39.2446,55.5154,16,52,62.438000000000045,6.48
99,horki,BY,2023-03-28 12:03:40,54.2861,30.9842,100,91,43.15999999999998,1.42
100,jamestown,US,2023-03-28 12:01:01,42.097,-79.2353,75,70,42.22400000000001,1.54
101,bulungu,CD,2023-03-28 12:03:40,-4.55,18.6,70,62,84.81199999999995,0.7
102,vostok,RU,2023-03-28 12:03:40,46.4856,135.8833,10,81,25.232000000000017,2.57
103,palabuhanratu,,,,,,,,
104,denpasar,ID,2023-03-28 12:03:10,-8.65,115.2167,40,94,80.52799999999996,1.54
105,umba,RU,2023-03-28 12:03:40,66.6871,34.3429,32,94,14.396000000000047,0.7
106,nemuro,JP,2023-03-28 12:03:40,43.3236,145.575,1,87,34.98800000000004,3.53
107,ngerengere,TZ,2023-03-28 12:03:40,-6.75,38.1167,100,92,75.34399999999997,1.86
108,arraial do cabo,BR,2023-03-28 11:59:41,-22.9661,-42.0278,75,69,82.63399999999999,3.09
109,torbay,CA,2023-03-28 12:03:41,47.6666,-52.7314,100,91,35.54600000000005,7.72
110,bambous virieux,MU,2023-03-28 12:03:41,-20.3428,57.7575,100,75,78.49399999999997,3.26
111,geraldton,AU,2023-03-28 12:03:41,-28.7667,114.6,85,46,74.084,4.12
112,esperance,AU,2023-03-28 12:03:41,-33.8667,121.9,8,76,61.069999999999965,3.29
113,puerto ayora,EC,2023-03-28 12:03:41,-0.7393,-90.3518,46,86,84.81199999999995,2.24
114,lubumbashi,CD,2023-03-28 12:03:24,-11.6609,27.4794,68,94,67.226,1.95
115,rawson,AR,2023-03-28 12:03:41,-43.3002,-65.1023,93,29,66.2,5.89
116,fukue,JP,2023-03-28 12:03:41,32.6881,128.8419,61,50,57.2,3.45
117,mount isa,AU,2023-03-28 12:03:42,-20.7333,139.5,1,78,71.63599999999997,0
118,vaini,TO,2023-03-28 12:03:42,-21.2,-175.2,55,79,80.18599999999998,1.84
119,tondano,ID,2023-03-28 12:03:42,1.3038,124.9112,93,93,68.35999999999999,1.08
120,upernavik,GL,2023-03-28 12:03:42,72.7868,-56.1549,29,86,-12.45999999999998,3.58
121,miramar,US,2023-03-28 12:02:21,25.9873,-80.2323,40,65,87.29600000000005,2.57
122,kupang,ID,2023-03-28 12:03:42,-10.1667,123.5833,88,87,77.576,2.4
123,kahului,US,2023-03-28 12:03:42,20.8947,-156.47,97,89,72.10399999999996,1.79
124,kuytun,RU,2023-03-28 12:03:42,54.3419,101.5036,100,98,33.008,2.24
125,bartica,GY,2023-03-28 12:03:42,6.4,-58.6167,94,60,84.434,2.28
126,belushya guba,,,,,,,,
127,dicabisagan,PH,2023-03-28 12:03:43,17.0818,122.4157,28,88,75.57799999999997,1.19
128,palmer,US,2023-03-28 12:03:43,42.1584,-72.3287,75,77,46.417999999999985,4.63
129,chimbote,PE,2023-03-28 12:03:43,-9.0853,-78.5783,100,72,79.37599999999999,2.63
130,roald,NO,2023-03-28 12:03:43,62.5833,6.1333,0,41,40.60399999999995,4.12
131,douglas,US,2023-03-28 12:00:46,41.3,-96.167,0,64,34.88000000000004,1.79
132,shubarshi,KZ,2023-03-28 12:03:43,48.5872,57.1869,100,36,60.817999999999984,3.85
133,flinders,AU,2023-03-28 12:03:43,-34.5833,150.8552,100,90,69.458,0.89
134,lavrentiya,RU,2023-03-28 12:03:44,65.5833,-171,100,95,17.81600000000001,3.92
135,dimitrovgrad,RU,2023-03-28 12:03:44,54.2139,49.6184,41,75,45.48200000000001,2.77
136,aklavik,CA,2023-03-28 12:03:44,68.2191,-135.0107,100,93,25.069999999999958,4.12
137,porbandar,IN,2023-03-28 12:03:44,21.6422,69.6093,0,68,76.98200000000003,5.18
138,aktash,RU,2023-03-28 12:03:44,50.3,87.7333,8,88,17.096000000000046,1.66
139,tautira,PF,2023-03-28 12:01:29,-17.7333,-149.15,79,80,80.042,3.37
140,desaguadero,PE,2023-03-28 12:03:44,-16.5656,-69.0417,84,57,53.438000000000045,4.26
141,sovetskiy,RU,2023-03-28 12:03:44,61.3614,63.5842,100,89,22.711999999999954,4.69
142,fortuna,US,2023-03-28 12:03:44,40.5982,-124.1573,100,94,44.20399999999995,2.68
143,amderma,,,,,,,,
144,samarai,PG,2023-03-28 12:03:45,-10.6167,150.6667,67,74,82.70600000000003,5.68
145,khandyga,RU,2023-03-28 12:03:45,62.6667,135.6,100,99,31.92799999999996,2.78
146,mahebourg,MU,2023-03-28 12:03:45,-20.4081,57.7,100,74,78.53000000000004,3.22
147,pandamatenga,BW,2023-03-28 12:03:45,-18.5278,25.627,100,58,74.44399999999997,1.11
148,andenes,NO,2023-03-28 12:01:52,69.3143,16.1194,0,53,27.19399999999997,3.09
149,bethanien,NA,2023-03-28 12:03:45,-26.502,17.1583,0,14,87.87200000000004,10.09
150,port elizabeth,ZA,2023-03-28 12:03:45,-33.918,25.5701,100,52,74.37200000000004,1.79
151,hopelchen,MX,2023-03-28 12:03:46,19.7667,-89.85,91,59,83.858,3.1
